player,jn,position,team
Hilary Knight,21,Right Wing,home
Lee Stecklein,2,Left Defense,home
Cayla Barnes,3,Right Defense,home
Megan Keller,5,Left Defense,home
Kelly Pannek,12,Center,home
Hannah Brandt,20,Center,home
Dani Cameranesi,24,Right Wing,home
Kendall Coyne Schofield,26,Left Wing,home
Amanda Kessel,28,Right Wing,home
Alex Cavallini,33,Goalie,home
Maddie Rooney,35,Goalie,home
Alex Carpenter,25,Left Wing,home
Hayley Scamurra,16,Right Wing,home
Megan Bozek,9,Left Defense,home
Savannah Harmon,15,Right Defense,home
Jesse Compher,18,Left Wing,home
Caroline Harvey,4,Right Defense,home
Abby Roque,11,Center,home
Grace Zumwinkle,13,Left Wing,home
Jincy Dunne,19,Left Defense,home
Abbey Murphy,37,Center,home
Jocelyne Larocque,3,Left Defense,away
Rebecca Johnston,6,Right Wing,away
Laura Stacey,7,Right Wing,away
Jillian Saulnier,11,Left Wing,away
Renata Fast,14,Right Defense,away
Melodie Daoust,15,Left Wing,away
Brianne Jenner,19,Right Wing,away
Sarah Nurse,20,Left Wing,away
Natalie Spooner,24,Right Wing,away
Emily Clark,26,Left Wing,away
Marie-Philip Poulin,29,Center,away
Ann-Renee Desbiens,35,Goalie,away
Blayre Turnbull,40,Center,away
Ella Shelton,17,Left Defense,away
Erin Ambrose,23,Right Defense,away
Jamie Lee Rattray,47,Right Defense,away
Mich Zandee-Hart,28,Right Defense,away
Sarah Fillier,10,Center,away
Ashton Bell,21,Left Defense,away
Emma Maltais,27,Center,away
Claire Thompson,42,Left Defense,away
