player,jn,position,team
Jenni Hiirikoski,6,Left Defense,home
Ronja Savolainen,88,Right Defense,home
Minnamari Tuominen,15,Right Defense,home
Ella Viitasuo,8,Left Defense,home
Sanni Hakala,23,Left Wing,home
Michelle Karvinen,33,Left Wing,home
Petra Nieminen,16,Right Wing,home
Tanja Niskanen,61,Center,home
Susanna Tapani,77,Center,home
Noora Tulus,40,Right Wing,home
Elisa Holopainen,10,Left Wing,home
Nelli Laitinen,9,Left Defense,home
Viivi Vainikka,24,Center,home
Anni Keisala,36,Goalie,home
Sanni Vanhanen,12,Right Wing,home
Sini Karjalainen,2,Left Defense,home
Emilia Vesa,32,Right Wing,home
Jenniina Nylund,28,Center,home
Sofianna Sundelin,34,Right Wing,home
Julia Liikala,27,Left Wing,home
Sanni Rantala,7,Right Defense,home
Maria Batalova,22,Right Wing,away
Liana Ganeyeva,11,Right Defense,away
Angelina Goncharenko,2,Right Defense,away
Yekaterina Nikolayeva,76,Defense,away
Nina Pirogova,13,Left Defense,away
Lyudmila Belyakova,10,Left Wing,away
Fanuza Kadirova,17,Right Wing,away
Valeria Pavlova,15,Right Wing,away
Anna Shokhina,97,Right Wing,away
Olga Sosina,18,Left Wing,away
Yelena Provorova,19,Right Defense,away
Yekaterina Dobrodeyeva,26,Left Wing,away
Veronika Korzhakova,27,Center,away
Alexandra Vafina,29,Center,away
Valeria Merkusheva,30,Goalie,away
Oxana Bratishcheva,42,Center,away
Anna Shibanova,70,Right Defense,away
Anna Savonina,72,Left Defense,away
Landysh Falyakhova,79,Right Wing,away
Maria Sorokina,69,Goalie,away
Maria Pechnikova,12,Right Defense,away
Yulia Smirnova,4,Left Defense,away
Polina Luchnikova,87,Left Wing,away
