player,jn,position,team
Jocelyne Larocque,3,Left Defense,home
Rebecca Johnston,6,Right Wing,home
Laura Stacey,7,Right Wing,home
Jillian Saulnier,11,Left Wing,home
Renata Fast,14,Right Defense,home
Melodie Daoust,15,Left Wing,home
Brianne Jenner,19,Right Wing,home
Sarah Nurse,20,Left Wing,home
Natalie Spooner,24,Right Wing,home
Emily Clark,26,Left Wing,home
Marie-Philip Poulin,29,Center,home
Ann-Renee Desbiens,35,Goalie,home
Blayre Turnbull,40,Center,home
Ella Shelton,17,Left Defense,home
Erin Ambrose,23,Right Defense,home
Jamie Lee Rattray,47,Right Defense,home
Mich Zandee-Hart,28,Right Defense,home
Sarah Fillier,10,Center,home
Ashton Bell,21,Left Defense,home
Emma Maltais,27,Center,home
Claire Thompson,42,Left Defense,home
Sarah Forster,3,Left Defense,away
Andrea Brandli,20,Goalie,away
Saskia Maurer,29,Goalie,away
Lara Christen,17,Right Defense,away
Nadine Hofstetter,4,Left Defense,away
Sinja Leemann,22,Left Defense,away
Shannon Sigrist,9,Right Defense,away
Nicole Vallario,16,Right Defense,away
Stefanie Wetli,18,Left Defense,away
Rahel Enzler,21,Left Wing,away
Lena Marie Lutz,71,Right Wing,away
Alina Marti,28,Center,away
Alina Muller,25,Center,away
Kaleigh Quennec,8,Right Wing,away
Evelina Raselli,14,Right Wing,away
Dominique Ruegg,26,Center,away
Noemi Ryhner,24,Left Wing,away
Phoebe Staenz,88,Left Wing,away
Lara Stalder,7,Right Wing,away
Laura Zimmermann,15,Left Wing,away
Nicole Bullo,23,Left Defense,away
Keely Moy,98,Right Wing,away
